Date,Opponent,Princeton,Opponent,Description,W/L/T,H/A/N
10/29/1988,Penn,23,31,10/29/1988 Princeton: 23 / Penn: 31,L,H
11/5/1988,Colgate,45,13,11/5/1988 Princeton: 45 / Colgate: 13,W,H
11/12/1988,Yale,24,7,11/12/1988 Princeton: 24 / Yale: 7,W,A
11/19/1988,Dartmouth,17,24,11/19/1988 Princeton: 17 / Dartmouth: 24,L,H
9/16/1989,Dartmouth,20,14,9/16/1989 Princeton: 20 / Dartmouth: 14,W,A
9/23/1989,William & Mary,31,31,9/23/1989 Princeton: 31 / William & Mary: 31,T,H
9/30/1989,Holy Cross,0,46,9/30/1989 Princeton: 0 / Holy Cross: 46,L,A
10/7/1989,Brown,38,15,10/7/1989 Princeton: 38 / Brown: 15,W,A
10/14/1989,Columbia,24,8,10/14/1989 Princeton: 24 / Columbia: 8,W,H
10/21/1989,Fordham,38,20,10/21/1989 Princeton: 38 / Fordham: 20,W,H
10/28/1989,Harvard,28,14,10/28/1989 Princeton: 28 / Harvard: 14,W,A
11/4/1989,Penn,30,8,11/4/1989 Princeton: 30 / Penn: 8,W,A
11/11/1989,Yale,7,14,11/11/1989 Princeton: 7 / Yale: 14,L,H
11/18/1989,Cornell,21,7,11/18/1989 Princeton: 21 / Cornell: 7,W,H
9/15/1990,Cornell,14,17,9/15/1990 Princeton: 14 / Cornell: 17,L,A
9/22/1990,Fordham,23,14,9/22/1990 Princeton: 23 / Fordham: 14,W,H
9/29/1990,Colgate,13,39,9/29/1990 Princeton: 13 / Colgate: 39,L,A
10/6/1990,Brown,27,23,10/6/1990 Princeton: 27 / Brown: 23,W,H
10/13/1990,Bucknell,9,14,10/13/1990 Princeton: 9 / Bucknell: 14,L,A
10/20/1990,Harvard,20,23,10/20/1990 Princeton: 20 / Harvard: 23,L,H
10/27/1990,Columbia,15,17,10/27/1990 Princeton: 15 / Columbia: 17,L,A
11/3/1990,Penn,34,20,11/3/1990 Princeton: 34 / Penn: 20,W,H
11/10/1990,Yale,7,34,11/10/1990 Princeton: 7 / Yale: 34,L,A
11/17/1990,Dartmouth,6,23,11/17/1990 Princeton: 6 / Dartmouth: 23,L,H
9/21/1991,Cornell,18,0,9/21/1991 Princeton: 18 / Cornell: 0,W,H
9/28/1991,Fordham,20,17,9/28/1991 Princeton: 20 / Fordham: 17,W,A
10/5/1991,Colgate,30,21,10/5/1991 Princeton: 30 / Colgate: 21,W,H
10/12/1991,Brown,59,37,10/12/1991 Princeton: 59 / Brown: 37,W,A
10/19/1991,Bucknell,31,7,10/19/1991 Princeton: 31 / Bucknell: 7,W,H
10/26/1991,Harvard,21,24,10/26/1991 Princeton: 21 / Harvard: 24,L,A
11/2/1991,Columbia,22,6,11/2/1991 Princeton: 22 / Columbia: 6,W,H
11/9/1991,Penn,17,12,11/9/1991 Princeton: 17 / Penn: 12,W,A
11/16/1991,Yale,22,16,11/16/1991 Princeton: 22 / Yale: 16,W,H
11/23/1991,Dartmouth,13,31,11/23/1991 Princeton: 13 / Dartmouth: 31,L,A
9/19/1992,Cornell,22,20,9/19/1992 Princeton: 22 / Cornell: 20,W,A
9/26/1992,Lafayette,38,35,9/26/1992 Princeton: 38 / Lafayette: 35,W,H
10/3/1992,Lehigh,38,28,10/3/1992 Princeton: 38 / Lehigh: 28,W,A
10/10/1992,Brown,28,14,10/10/1992 Princeton: 28 / Brown: 14,W,H
10/17/1992,Holy Cross,7,10,10/17/1992 Princeton: 7 / Holy Cross: 10,L,A
10/24/1992,Harvard,21,6,10/24/1992 Princeton: 21 / Harvard: 6,W,H
10/31/1992,Columbia,34,7,10/31/1992 Princeton: 34 / Columbia: 7,W,A
11/7/1992,Penn,20,14,11/7/1992 Princeton: 20 / Penn: 14,W,H
11/14/1992,Yale,36,7,11/14/1992 Princeton: 36 / Yale: 7,W,A
11/21/1992,Dartmouth,20,34,11/21/1992 Princeton: 20 / Dartmouth: 34,L,H
9/18/1993,Cornell,18,12,9/18/1993 Princeton: 18 / Cornell: 12,W,H
9/25/1993,Lafayette,21,7,9/25/1993 Princeton: 21 / Lafayette: 7,W,A
10/2/1993,Holy Cross,38,0,10/2/1993 Princeton: 38 / Holy Cross: 0,W,H
10/9/1993,Brown,34,16,10/9/1993 Princeton: 34 / Brown: 16,W,A
10/16/1993,Lehigh,31,23,10/16/1993 Princeton: 31 / Lehigh: 23,W,H
10/23/1993,Harvard,21,10,10/23/1993 Princeton: 21 / Harvard: 10,W,A
10/30/1993,Columbia,14,3,10/30/1993 Princeton: 14 / Columbia: 3,W,H
11/6/1993,Penn,14,30,11/6/1993 Princeton: 14 / Penn: 30,L,A
11/13/1993,Yale,28,7,11/13/1993 Princeton: 28 / Yale: 7,W,H
11/20/1993,Dartmouth,22,28,11/20/1993 Princeton: 22 / Dartmouth: 28,L,A
9/17/1994,Cornell,16,31,9/17/1994 Princeton: 16 / Cornell: 31,L,A
9/24/1994,Colgate,29,3,9/24/1994 Princeton: 29 / Colgate: 3,W,H
10/1/1994,Bucknell,12,7,10/1/1994 Princeton: 12 / Bucknell: 7,W,H
10/8/1994,Brown,31,10,10/8/1994 Princeton: 31 / Brown: 10,W,H
10/15/1994,Fordham,27,20,10/15/1994 Princeton: 27 / Fordham: 20,W,A
10/22/1994,Harvard,18,7,10/22/1994 Princeton: 18 / Harvard: 7,W,H
10/29/1994,Columbia,10,17,10/29/1994 Princeton: 10 / Columbia: 17,L,A
11/5/1994,Penn,19,33,11/5/1994 Princeton: 19 / Penn: 33,L,H
11/12/1994,Yale,19,6,11/12/1994 Princeton: 19 / Yale: 6,W,A
11/19/1994,Dartmouth,20,13,11/19/1994 Princeton: 20 / Dartmouth: 13,W,H
9/16/1995,Cornell,24,22,9/16/1995 Princeton: 24 / Cornell: 22,W,H
9/23/1995,Bucknell,20,3,9/23/1995 Princeton: 20 / Bucknell: 3,W,H
9/30/1995,Colgate,34,23,9/30/1995 Princeton: 34 / Colgate: 23,W,A
10/7/1995,Brown,21,19,10/7/1995 Princeton: 21 / Brown: 19,W,A
10/14/1995,Lafayette,41,0,10/14/1995 Princeton: 41 / Lafayette: 0,W,H
10/21/1995,Harvard,14,3,10/21/1995 Princeton: 14 / Harvard: 3,W,A
10/28/1995,Columbia,44,14,10/28/1995 Princeton: 44 / Columbia: 14,W,H
11/4/1995,Penn,22,9,11/4/1995 Princeton: 22 / Penn: 9,W,A
11/11/1995,Yale,13,21,11/11/1995 Princeton: 13 / Yale: 21,L,H
11/18/1995,Dartmouth,10,10,11/18/1995 Princeton: 10 / Dartmouth: 10,T,H
9/21/1996,Cornell,27,33,9/21/1996 Princeton: 27 / Cornell: 33,L,A
9/28/1996,Holy Cross,37,30,9/28/1996 Princeton: 37 / Holy Cross: 30,W,H
10/5/1996,Lehigh,14,20,10/5/1996 Princeton: 14 / Lehigh: 20,L,H
10/12/1996,Brown,23,27,10/12/1996 Princeton: 23 / Brown: 27,L,H
10/19/1996,Bucknell,6,10,10/19/1996 Princeton: 6 / Bucknell: 10,L,A
10/26/1996,Harvard,0,24,10/26/1996 Princeton: 0 / Harvard: 24,L,H
11/2/1996,Columbia,14,11,11/2/1996 Princeton: 14 / Columbia: 11,W,A
11/9/1996,Penn,6,10,11/9/1996 Princeton: 6 / Penn: 10,L,H
11/16/1996,Yale,17,13,11/16/1996 Princeton: 17 / Yale: 13,W,A
11/23/1996,Dartmouth,0,24,11/23/1996 Princeton: 0 / Dartmouth: 24,L,H
9/20/1997,Cornell,10,14,9/20/1997 Princeton: 10 / Cornell: 14,L,A
9/27/1997,Fordham,9,7,9/27/1997 Princeton: 9 / Fordham: 7,W,N
10/4/1997,Holy Cross,21,7,10/4/1997 Princeton: 21 / Holy Cross: 7,W,A
10/11/1997,Brown,30,13,10/11/1997 Princeton: 30 / Brown: 13,W,A
10/18/1997,Colgate,31,28,10/18/1997 Princeton: 31 / Colgate: 28,W,A
10/25/1997,Harvard,12,14,10/25/1997 Princeton: 12 / Harvard: 14,L,A
11/1/1997,Columbia,0,17,11/1/1997 Princeton: 0 / Columbia: 17,L,A
11/8/1997,Penn,17,20,11/8/1997 Princeton: 17 / Penn: 20,L,A
11/15/1997,Yale,9,0,11/15/1997 Princeton: 9 / Yale: 0,W,N
11/22/1997,Dartmouth,9,12,11/22/1997 Princeton: 9 / Dartmouth: 12,L,A
9/19/1998,Cornell,6,0,9/19/1998 Princeton: 6 / Cornell: 0,W,H
9/26/1998,Lehigh,24,31,9/26/1998 Princeton: 24 / Lehigh: 31,L,A
10/3/1998,Fordham,17,20,10/3/1998 Princeton: 17 / Fordham: 20,L,A
10/10/1998,Brown,31,17,10/10/1998 Princeton: 31 / Brown: 17,W,H
10/17/1998,Lafayette,20,0,10/17/1998 Princeton: 20 / Lafayette: 0,W,A
10/24/1998,Harvard,22,23,10/24/1998 Princeton: 22 / Harvard: 23,L,H
10/31/1998,Columbia,20,0,10/31/1998 Princeton: 20 / Columbia: 0,W,A
11/7/1998,Penn,14,27,11/7/1998 Princeton: 14 / Penn: 27,L,H
11/14/1998,Yale,28,31,11/14/1998 Princeton: 28 / Yale: 31,L,A
11/21/1998,Dartmouth,35,13,11/21/1998 Princeton: 35 / Dartmouth: 13,W,H
9/18/1999,Cornell,3,20,9/18/1999 Princeton: 3 / Cornell: 20,L,H
9/25/1999,Lehigh,0,31,9/25/1999 Princeton: 0 / Lehigh: 31,L,H
10/2/1999,Fordham,27,0,10/2/1999 Princeton: 27 / Fordham: 0,W,H
10/9/1999,Brown,30,53,10/9/1999 Princeton: 30 / Brown: 53,L,A
10/16/1999,Lafayette,22,10,10/16/1999 Princeton: 22 / Lafayette: 10,W,A
10/23/1999,Harvard,6,13,10/23/1999 Princeton: 6 / Harvard: 13,L,A
10/30/1999,Columbia,44,15,10/30/1999 Princeton: 44 / Columbia: 15,W,H
11/6/1999,Penn,13,41,11/6/1999 Princeton: 13 / Penn: 41,L,A
11/13/1999,Yale,21,23,11/13/1999 Princeton: 21 / Yale: 23,L,H
11/20/1999,Dartmouth,18,19,11/20/1999 Princeton: 18 / Dartmouth: 19,L,A
9/16/2000,Lafayette,17,24,9/16/2000 Princeton: 17 / Lafayette: 24,L,A
9/23/2000,Lehigh,18,20,9/23/2000 Princeton: 18 / Lehigh: 20,L,H
9/30/2000,Columbia,27,24,9/30/2000 Princeton: 27 / Columbia: 24,W,A
10/7/2000,Colgate,6,34,10/7/2000 Princeton: 6 / Colgate: 34,L,A
10/14/2000,Brown,55,28,10/14/2000 Princeton: 55 / Brown: 28,W,H
10/21/2000,Harvard,21,35,10/21/2000 Princeton: 21 / Harvard: 35,L,H
10/28/2000,Cornell,24,25,10/28/2000 Princeton: 24 / Cornell: 25,L,A
11/4/2000,Penn,24,40,11/4/2000 Princeton: 24 / Penn: 40,L,H
11/11/2000,Yale,19,14,11/11/2000 Princeton: 19 / Yale: 14,W,A
11/18/2000,Dartmouth,37,43,11/18/2000 Princeton: 37 / Dartmouth: 43,L,H
9/22/2001,Lehigh,10,34,9/22/2001 Princeton: 10 / Lehigh: 34,L,A
9/29/2001,Columbia,44,11,9/29/2001 Princeton: 44 / Columbia: 11,W,H
10/6/2001,Colgate,10,35,10/6/2001 Princeton: 10 / Colgate: 35,L,H
10/13/2001,Brown,24,35,10/13/2001 Princeton: 24 / Brown: 35,L,A
10/20/2001,Harvard,26,28,10/20/2001 Princeton: 26 / Harvard: 28,L,A
10/27/2001,Cornell,7,10,10/27/2001 Princeton: 7 / Cornell: 10,L,H
11/3/2001,Penn,10,21,11/3/2001 Princeton: 10 / Penn: 21,L,A
11/10/2001,Yale,34,14,11/10/2001 Princeton: 34 / Yale: 14,W,H
11/17/2001,Dartmouth,35,14,11/17/2001 Princeton: 35 / Dartmouth: 14,W,A
9/21/2002,Lehigh,24,31,9/21/2002 Princeton: 24 / Lehigh: 31,L,A
9/28/2002,Lafayette,34,19,9/28/2002 Princeton: 34 / Lafayette: 19,W,H
10/5/2002,Columbia,35,32,10/5/2002 Princeton: 35 / Columbia: 32,W,A
10/12/2002,Colgate,14,10,10/12/2002 Princeton: 14 / Colgate: 10,W,H
10/19/2002,Brown,16,14,10/19/2002 Princeton: 16 / Brown: 14,W,H
10/26/2002,Harvard,17,24,10/26/2002 Princeton: 17 / Harvard: 24,L,H
11/2/2002,Cornell,35,25,11/2/2002 Princeton: 35 / Cornell: 25,W,A
11/9/2002,Penn,13,44,11/9/2002 Princeton: 13 / Penn: 44,L,H
11/16/2002,Yale,3,7,11/16/2002 Princeton: 3 / Yale: 7,L,A
11/23/2002,Dartmouth,38,30,11/23/2002 Princeton: 38 / Dartmouth: 30,W,H
9/20/2003,Lehigh,13,28,9/20/2003 Princeton: 13 / Lehigh: 28,L,H
9/27/2003,Lafayette,13,28,9/27/2003 Princeton: 13 / Lafayette: 28,L,A
10/4/2003,Columbia,27,33,10/4/2003 Princeton: 27 / Columbia: 33,L,H
10/11/2003,Colgate,3,30,10/11/2003 Princeton: 3 / Colgate: 30,L,H
10/18/2003,Brown,34,14,10/18/2003 Princeton: 34 / Brown: 14,W,A
10/25/2003,Harvard,40,43,10/25/2003 Princeton: 40 / Harvard: 43,L,A
11/1/2003,Cornell,28,6,11/1/2003 Princeton: 28 / Cornell: 6,W,H
11/8/2003,Penn,7,37,11/8/2003 Princeton: 7 / Penn: 37,L,A
11/15/2003,Yale,24,27,11/15/2003 Princeton: 24 / Yale: 27,L,H
11/22/2003,Dartmouth,15,21,11/22/2003 Princeton: 15 / Dartmouth: 21,L,A
9/18/2004,Lafayette,35,18,9/18/2004 Princeton: 35 / Lafayette: 18,W,H
9/25/2004,San Diego,24,17,9/25/2004 Princeton: 24 / San Diego: 17,W,A
10/2/2004,Columbia,27,26,10/2/2004 Princeton: 27 / Columbia: 26,W,A
10/9/2004,Colgate,26,29,10/9/2004 Princeton: 26 / Colgate: 29,L,H
10/16/2004,Brown,24,10,10/16/2004 Princeton: 24 / Brown: 10,W,H
10/23/2004,Harvard,14,39,10/23/2004 Princeton: 14 / Harvard: 39,L,H
10/30/2004,Cornell,20,21,10/30/2004 Princeton: 20 / Cornell: 21,L,A
11/6/2004,Penn,15,16,11/6/2004 Princeton: 15 / Penn: 16,L,H
11/13/2004,Yale,9,21,11/13/2004 Princeton: 9 / Yale: 21,L,A
11/20/2004,Dartmouth,17,10,11/20/2004 Princeton: 17 / Dartmouth: 10,W,H
9/17/2005,Lafayette,23,21,9/17/2005 Princeton: 23 / Lafayette: 21,W,A
9/24/2005,San Diego,20,17,9/24/2005 Princeton: 20 / San Diego: 17,W,H
10/1/2005,Columbia,43,3,10/1/2005 Princeton: 43 / Columbia: 3,W,H
10/8/2005,Colgate,10,16,10/8/2005 Princeton: 10 / Colgate: 16,L,H
10/15/2005,Brown,28,31,10/15/2005 Princeton: 28 / Brown: 31,L,A
10/22/2005,Harvard,27,24,10/22/2005 Princeton: 27 / Harvard: 24,W,A
10/29/2005,Cornell,20,17,10/29/2005 Princeton: 20 / Cornell: 17,W,H
11/5/2005,Penn,30,13,11/5/2005 Princeton: 30 / Penn: 13,W,A
11/12/2005,Yale,14,21,11/12/2005 Princeton: 14 / Yale: 21,L,H
11/19/2005,Dartmouth,30,0,11/19/2005 Princeton: 30 / Dartmouth: 0,W,A
9/16/2006,Lehigh,14,10,9/16/2006 Princeton: 14 / Lehigh: 10,W,A
9/23/2006,Lafayette,26,14,9/23/2006 Princeton: 26 / Lafayette: 14,W,H
9/30/2006,Columbia,19,6,9/30/2006 Princeton: 19 / Columbia: 6,W,A
10/7/2006,Colgate,27,26,10/7/2006 Princeton: 27 / Colgate: 26,W,A
10/13/2006,Brown,17,3,10/13/2006 Princeton: 17 / Brown: 3,W,H
10/21/2006,Harvard,31,28,10/21/2006 Princeton: 31 / Harvard: 28,W,H
10/28/2006,Cornell,7,14,10/28/2006 Princeton: 7 / Cornell: 14,L,A
11/4/2006,Penn,31,30,11/4/2006 Princeton: 31 / Penn: 30,W,H
11/11/2006,Yale,34,31,11/11/2006 Princeton: 34 / Yale: 31,W,A
11/18/2006,Dartmouth,27,17,11/18/2006 Princeton: 27 / Dartmouth: 17,W,H
9/15/2007,Lehigh,21,32,9/15/2007 Princeton: 21 / Lehigh: 32,L,H
9/22/2007,Lafayette,20,14,9/22/2007 Princeton: 20 / Lafayette: 14,W,A
9/29/2007,Columbia,42,32,9/29/2007 Princeton: 42 / Columbia: 32,W,H
10/6/2007,Hampton,27,48,10/6/2007 Princeton: 27 / Hampton: 48,L,H
10/13/2007,Brown,24,33,10/13/2007 Princeton: 24 / Brown: 33,L,A
10/20/2007,Harvard,10,27,10/20/2007 Princeton: 10 / Harvard: 27,L,A
10/26/2007,Cornell,34,31,10/26/2007 Princeton: 34 / Cornell: 31,W,H
11/3/2007,Penn,0,7,11/3/2007 Princeton: 0 / Penn: 7,L,A
11/10/2007,Yale,6,27,11/10/2007 Princeton: 6 / Yale: 27,L,H
11/17/2007,Dartmouth,17,14,11/17/2007 Princeton: 17 / Dartmouth: 14,W,A
9/20/2008,The Citadel,24,37,9/20/2008 Princeton: 24 / The Citadel: 37,L,A
9/27/2008,Lehigh,10,7,9/27/2008 Princeton: 10 / Lehigh: 7,W,H
10/4/2008,Columbia,27,24,10/4/2008 Princeton: 27 / Columbia: 24,W,A
10/11/2008,Colgate,24,27,10/11/2008 Princeton: 24 / Colgate: 27,L,A
10/18/2008,Brown,10,31,10/18/2008 Princeton: 10 / Brown: 31,L,H
10/25/2008,Harvard,20,24,10/25/2008 Princeton: 20 / Harvard: 24,L,H
11/1/2008,Cornell,31,26,11/1/2008 Princeton: 31 / Cornell: 26,W,A
11/7/2008,Penn,9,14,11/7/2008 Princeton: 9 / Penn: 14,L,H
11/15/2008,Yale,0,14,11/15/2008 Princeton: 0 / Yale: 14,L,A
11/22/2008,Dartmouth,28,10,11/22/2008 Princeton: 28 / Dartmouth: 10,W,H
9/19/2009,The Citadel,7,38,9/19/2009 Princeton: 7 / The Citadel: 38,L,H
9/26/2009,Lehigh,17,14,9/26/2009 Princeton: 17 / Lehigh: 14,W,A
10/3/2009,Columbia,0,38,10/3/2009 Princeton: 0 / Columbia: 38,L,H
10/8/2009,Colgate,14,21,10/8/2009 Princeton: 14 / Colgate: 21,L,H
10/17/2009,Brown,17,34,10/17/2009 Princeton: 17 / Brown: 34,L,A
10/24/2009,Harvard,3,37,10/24/2009 Princeton: 3 / Harvard: 37,L,A
10/31/2009,Cornell,17,14,10/31/2009 Princeton: 17 / Cornell: 14,W,H
11/7/2009,Penn,7,42,11/7/2009 Princeton: 7 / Penn: 42,L,A
11/14/2009,Yale,24,17,11/14/2009 Princeton: 24 / Yale: 17,W,H
11/21/2009,Dartmouth,23,11,11/21/2009 Princeton: 23 / Dartmouth: 11,W,A
9/18/2010,Lehigh,22,35,9/18/2010 Princeton: 22 / Lehigh: 35,L,A
9/25/2010,Lafayette,36,33,9/25/2010 Princeton: 36 / Lafayette: 33,W,H
10/2/2010,Columbia,14,42,10/2/2010 Princeton: 14 / Columbia: 42,L,A
10/9/2010,Colgate,10,44,10/9/2010 Princeton: 10 / Colgate: 44,L,H
10/16/2010,Brown,13,17,10/16/2010 Princeton: 13 / Brown: 17,L,H
10/23/2010,Harvard,28,45,10/23/2010 Princeton: 28 / Harvard: 45,L,H
10/30/2010,Cornell,19,21,10/30/2010 Princeton: 19 / Cornell: 21,L,A
11/6/2010,Penn,10,52,11/6/2010 Princeton: 10 / Penn: 52,L,H
11/13/2010,Yale,13,14,11/13/2010 Princeton: 13 / Yale: 14,L,A
11/20/2010,Dartmouth,0,31,11/20/2010 Princeton: 0 / Dartmouth: 31,L,H
9/17/2011,Lehigh,22,34,9/17/2011 Princeton: 22 / Lehigh: 34,L,H
9/24/2011,Bucknell,9,34,9/24/2011 Princeton: 9 / Bucknell: 34,L,H
10/1/2011,Columbia,24,21,10/1/2011 Princeton: 24 / Columbia: 21,W,H
10/8/2011,Hampton,23,28,10/8/2011 Princeton: 23 / Hampton: 28,L,A
10/15/2011,Brown,0,34,10/15/2011 Princeton: 0 / Brown: 34,L,A
10/22/2011,Harvard,39,56,10/22/2011 Princeton: 39 / Harvard: 56,L,A
10/29/2011,Cornell,7,24,10/29/2011 Princeton: 7 / Cornell: 24,L,H
11/5/2011,Penn,9,37,11/5/2011 Princeton: 9 / Penn: 37,L,A
11/12/2011,Yale,24,33,11/12/2011 Princeton: 24 / Yale: 33,L,H
11/19/2011,Dartmouth,17,24,11/19/2011 Princeton: 17 / Dartmouth: 24,L,A
9/15/2012,Lehigh,14,17,9/15/2012 Princeton: 14 / Lehigh: 17,L,A
9/21/2012,Georgetown,20,21,9/21/2012 Princeton: 20 / Georgetown: 21,L,H
9/29/2012,Columbia,33,6,9/29/2012 Princeton: 33 / Columbia: 6,W,A
10/6/2012,Lafayette,35,14,10/6/2012 Princeton: 35 / Lafayette: 14,W,A
10/13/2012,Brown,19,0,10/13/2012 Princeton: 19 / Brown: 0,W,H
10/20/2012,Harvard,39,34,10/20/2012 Princeton: 39 / Harvard: 34,W,H
10/27/2012,Cornell,35,37,10/27/2012 Princeton: 35 / Cornell: 37,L,A
11/3/2012,Penn,21,28,11/3/2012 Princeton: 21 / Penn: 28,L,H
11/10/2012,Yale,29,7,11/10/2012 Princeton: 29 / Yale: 7,W,A
11/17/2012,Dartmouth,21,35,11/17/2012 Princeton: 21 / Dartmouth: 35,L,H
9/21/2013,Lehigh,28,29,9/21/2013 Princeton: 28 / Lehigh: 29,L,H
9/28/2013,Georgetown,50,22,9/28/2013 Princeton: 50 / Georgetown: 22,W,A
10/5/2013,Columbia,53,7,10/5/2013 Princeton: 53 / Columbia: 7,W,H
10/12/2013,Lafayette,42,26,10/12/2013 Princeton: 42 / Lafayette: 26,W,H
10/19/2013,Brown,39,17,10/19/2013 Princeton: 39 / Brown: 17,W,A
10/26/2013,Harvard,51,48,10/26/2013 Princeton: 51 / Harvard: 48,W,A
11/2/2013,Cornell,53,20,11/2/2013 Princeton: 53 / Cornell: 20,W,H
11/9/2013,Penn,38,26,11/9/2013 Princeton: 38 / Penn: 26,W,A
11/16/2013,Yale,59,23,11/16/2013 Princeton: 59 / Yale: 23,W,H
11/23/2013,Dartmouth,24,28,11/23/2013 Princeton: 24 / Dartmouth: 28,L,A
9/20/2014,San Diego,29,39,9/20/2014 Princeton: 29 / San Diego: 39,L,A
9/27/2014,Davidson,56,17,9/27/2014 Princeton: 56 / Davidson: 17,W,H
10/4/2014,Columbia,38,6,10/4/2014 Princeton: 38 / Columbia: 6,W,A
10/11/2014,Colgate,30,31,10/11/2014 Princeton: 30 / Colgate: 31,L,A
10/18/2014,Brown,27,16,10/18/2014 Princeton: 27 / Brown: 16,W,H
10/25/2014,Harvard,7,49,10/25/2014 Princeton: 27 / Harvard: 49,L,H
11/1/2014,Cornell,38,27,11/1/2014 Princeton: 7 / Cornell: 27,W,A
11/8/2014,Penn,22,17,11/8/2014 Princeton: 38 / Penn: 17,W,H
11/15/2014,Yale,30,44,11/15/2014 Princeton: 22 / Yale: 44,L,A
11/22/2014,Dartmouth,10,41,11/22/2014 Princeton: 30 / Dartmouth: 41,L,H
9/19/2015,Lafayette,40,7,9/19/2015 Princeton: 10 / Lafayette: 7,W,A
9/26/2015,Lehigh,52,26,9/26/2015 Princeton: 52 / Lehigh: 26,W,H
10/2/2015,Columbia,10,5,10/2/2015 Princeton: 10 / Columbia: 5,W,H
10/10/2015,Colgate,44,20,10/10/2015 Princeton: 44 / Colgate: 20,W,H
10/17/2015,Brown,31,38,10/17/2015 Princeton: 31 / Brown: 38,L,A
10/24/2015,Harvard,7,42,10/24/2015 Princeton: 7 / Harvard: 42,L,A
10/31/2015,Cornell,47,21,10/31/2015 Princeton: 47 / Cornell: 21,W,H
11/7/2015,Penn,23,26,11/7/2015 Princeton: 23 / Penn: 26,L,A
11/14/2015,Yale,28,35,11/14/2015 Princeton: 28 / Yale: 35,L,H
11/21/2015,Dartmouth,10,17,11/21/2015 Princeton: 10 / Dartmouth: 17,L,A
9/17/2016,Lafayette,35,31,9/17/2016 Princeton: 35 / Lafayette: 31,W,H
9/24/2016,Lehigh,28,42,9/24/2016 Princeton: 28 / Lehigh: 42,L,A
10/1/2016,Columbia,48,13,10/1/2016 Princeton: 48 / Columbia: 13,W,A
10/8/2016,Georgetown,31,17,10/8/2016 Princeton: 31 / Georgetown: 17,W,A
10/15/2016,Brown,31,7,10/15/2016 Princeton: 31 / Brown: 7,W,H
10/22/2016,Harvard,20,23,10/22/2016 Princeton: 20 / Harvard: 23,L,H
10/29/2016,Cornell,56,7,10/29/2016 Princeton: 56 / Cornell: 7,W,A
11/5/2016,Penn,28,0,11/5/2016 Princeton: 28 / Penn: 0,W,H
11/12/2016,Yale,31,3,11/12/2016 Princeton: 31 / Yale: 3,W,A
11/19/2016,Dartmouth,38,21,11/19/2016 Princeton: 38 / Dartmouth: 21,W,H
9/16/2017,San Diego,27,17,9/16/2017 Princeton: 27 / San Diego: 17,W,H
9/23/2017,Lafayette,38,17,9/23/2017 Princeton: 38 / Lafayette: 17,W,A
9/30/2017,Columbia,24,28,9/30/2017 Princeton: 24 / Columbia: 28,L,H
10/7/2017,Georgetown,50,30,10/7/2017 Princeton: 50 / Georgetown: 30,W,H
10/14/2017,Brown,53,0,10/14/2017 Princeton: 53 / Brown: 0,W,A
10/20/2017,Harvard,52,17,10/20/2017 Princeton: 52 / Harvard: 17,W,A
10/28/2017,Cornell,28,29,10/28/2017 Princeton: 28 / Cornell: 29,L,H
11/4/2017,Penn,35,38,11/4/2017 Princeton: 35 / Penn: 38,L,A
11/11/2017,Yale,31,35,11/11/2017 Princeton: 31 / Yale: 35,L,H
11/18/2017,Dartmouth,44,54,11/18/2017 Princeton: 44 / Dartmouth: 54,L,A
9/25/2018,Butler,50,7,9/25/2018 Princeton: 50 / Butler: 7,W,A
9/22/2018,Monmouth,51,9,9/22/2018 Princeton: 51 / Monmouth: 9,W,H
9/28/2018,Columbia,45,10,9/28/2018 Princeton: 45 / Columbia: 10,W,A
10/6/2018,Lehigh,66,7,10/6/2018 Princeton: 66 / Lehigh: 7,W,H
10/13/2018,Brown,48,10,10/13/2018 Princeton: 48 / Brown: 10,W,H
10/20/2018,Harvard,29,21,10/20/2018 Princeton: 29 / Harvard: 21,W,A
10/27/2018,Cornell,66,0,10/27/2018 Princeton: 66 / Cornell: 0,W,H
11/3/2018,Dartmouth,14,9,11/3/2018 Princeton: 14 / Dartmouth: 9,W,H
11/10/2018,Yale,59,43,11/10/2018 Princeton: 59 / Yale: 43,W,A
11/17/2018,Penn,42,14,11/17/2018 Princeton: 42 / Penn: 14,W,H
9/21/2019,Butler,49,7,9/21/2019 Princeton: 49 / Butler: 7,W,H
9/28/2019,Bucknell,56,23,9/28/2019 Princeton: 56 / Bucknell: 23,W,A
10/5/2019,Columbia,21,10,10/5/2019 Princeton: 21 / Columbia: 10,W,H
10/11/2019,Lafayette,28,3,10/11/2019 Princeton: 28 / Lafayette: 3,W,H
10/19/2019,Brown,65,22,10/19/2019 Princeton: 65 / Brown: 22,W,A
10/26/2019,Harvard,30,24,10/26/2019 Princeton: 30 / Harvard: 24,W,H
11/1/2019,Cornell,21,7,11/1/2019 Princeton: 21 / Cornell: 7,W,A
11/9/2019,Dartmouth,10,27,11/9/2019 Princeton: 10 / Dartmouth: 27,L,N
11/16/2019,Yale,14,51,11/16/2019 Princeton: 14 / Yale: 51,L,H
11/23/2019,Penn,28,7,11/23/2019 Princeton: 28 / Penn: 7,W,A
9/18/2021,Lehigh,32,0,9/18/2021 Princeton: 32 / Lehigh: 0,W,A
9/25/2021,Stetson,63,0,9/25/2021 Princeton: 63 / Stetson: 0,W,H
